Ticker,Name,Exchange,Category Name,Country
MGTSP.ME,Public Joint Stock Company Moscow City Telephone Network,MCX,,Russia
MMBM.ME,Joint stock commercial bank - Bank of Moscow (open joint stock company),MCX,,Russia
MOBB.ME,Public Joint-Stock Company Moscovskiy Oblastnoi Bank,MCX,,Russia
MORI.ME,Morion Inc.,MCX,,Russia
MRKY.ME,Interregional Distribution Grid Company of South Public Joint Stock Company,MCX,,Russia
MRKP.ME,"Interregional Distribution Grid Company of Center and Volga Region, Public Joint Stock Company",MCX,,Russia
MRKS.ME,Public Joint Stock Company Interregional Distribution Grid Company of Siberia,MCX,,Russia
MRKV.ME,Public Joint-Stock Company Interregional Distribution Grid Company of Volga,MCX,,Russia
MRKK.ME,"Interregional Distribution Grid Company of Northern Caucasus, Public Joint-Stock Company",MCX,,Russia
MRKU.ME,"Interregional Distribution Grid Company of Urals, Open Joint Stock Company",MCX,,Russia
MRKC.ME,"Interregional Distribution Grid Company of Centre, Public Joint Stock Company",MCX,,Russia
MRSB.ME,Mordovia Energy Retail Company Public Joint-Stock Company,MCX,,Russia
MSST.ME,Public Joint Stock Company Multisistema,MCX,,Russia
MSRS.ME,Public Joint-Stock Company Moscow United Electric Grid Company,MCX,,Russia
MSTT.ME,Public Joint Stock Company Mostotrest,MCX,,Russia
MTSS.ME,Public Joint-Stock Company Mobile TeleSystems,MCX,,Russia
MTLR.ME,Mechel PAO,MCX,,Russia
MTLRP.ME,Mechel PAO,MCX,,Russia
MUGS.ME,Public Joint Stock Company Murmanskaya Combined Heat and Power Plant,MCX,,Russia
MUGSP.ME,Public Joint Stock Company Murmanskaya Combined Heat and Power Plant,MCX,,Russia
MVID.ME,Public Joint Stock Company M.video,MCX,,Russia
NAUK.ME,Open JSC Research-And-Production Association Nauka,MCX,,Russia
NKNCP.ME,PJSC Nizhnekamskneftekhim,MCX,,Russia
NKSH.ME,PJSC Nizhnekamskshina,MCX,,Russia
NKNC.ME,PJSC Nizhnekamskneftekhim,MCX,,Russia
NNSBP.ME,Public Joint - Stock Company TNS energo Nizhny Novgorod,MCX,,Russia
NNSB.ME,Public Joint - Stock Company TNS energo Nizhny Novgorod,MCX,,Russia
TAER.ME,Open Joint-stock company Transaero Airlines,MCX,,Russia
OGKB.ME,Public Joint Stock Company The Second Generating Company of the Wholesale Electric Power Market,MCX,,Russia
OPIN.ME,Public Joint Stock Company Open Investments,MCX,,Russia
OSMP.ME,Ostankinsky Meat-Processing Plant Open Joint-Stock Company,MCX,,Russia
OTCP.ME,Public Joint Stock Company OTCPharm,MCX,,Russia
PHST.ME,OJSC Pharmstandard,MCX,,Russia
PIKK.ME,PJSC PIK Group,MCX,,Russia
PLZL.ME,Public Joint Stock Company Polyus,MCX,,Russia
PMSB.ME,Public Joint Stock Company Perm Energy Supplying Company,MCX,,Russia
PMSBP.ME,Public Joint Stock Company Perm Energy Supplying Company,MCX,,Russia
PRMB.ME,Public Joint-Stock Commercial Bank Primorye,MCX,,Russia
PRIM.ME,Primorsk Shipping Corporation,MCX,,Russia
RODNP.ME,RODINA PJSC RUB1 PFD(RUB),MCX,,Russia
TASBP.ME,Public Joint Stock Company Tambov Power Supply Company,MCX,,Russia
PSBR.ME,Promsvyazbank PJSC,MCX,,Russia
RU000A0JUQZ6.ME,ISU-PN UK Ratio-capital,MCX,,Russia
RBCM.ME,Public Joint Stock Company RBC,MCX,,Russia
RDRB.ME,The Russian Public Joint-Stock Commercial Roads Bank (Public joint-stock company),MCX,,Russia
RGSS.ME,Public joint-stock company Russian state insurance company,MCX,,Russia
RKKE.ME,S.P. Korolev Rocket and Space Public Corporation Energia Open Joint Stock Company,MCX,,Russia
RLMNP.ME,Rollman Group Public Joint-Stock Company,MCX,,Russia
RLMN.ME,Rollman Group Public Joint-Stock Company,MCX,,Russia
RNAV.ME,"Russian Navigation Technologies,JSC",MCX,,Russia
ROSB.ME,Public joint stock company ROSBANK,MCX,,Russia
ROST.ME,Public Joint Stock Company Rosinter Restaurants Holding,MCX,,Russia
ROLO.ME,Public Joint Stock Company Rusolovo,MCX,,Russia
RSTIP.ME,"Rosseti, Public Joint Stock Company",MCX,,Russia
RSTI.ME,"Rosseti, Public Joint Stock Company",MCX,,Russia
RTSBP.ME,Public Joint-Stock Company TNS energo Rostov-on-Don,MCX,,Russia
RTSB.ME,Public Joint-Stock Company TNS energo Rostov-on-Don,MCX,,Russia
RTKM.ME,Public Joint Stock Company Long-Distance and International Telecommunications Rostelecom,MCX,,Russia
RTGZ.ME,Public Joint Stock Company Gazprom Gazoraspredelenie Rostov-na-Donu,MCX,,Russia
RTKMP.ME,Public Joint Stock Company Long-Distance and International Telecommunications Rostelecom,MCX,,Russia
RUALR.ME,United Company RUSAL Plc,MCX,,Russia
CHMK.ME,Public Joint Stock Company Chelyabinsk Metallurgical Plant,MCX,,Russia
STSB.ME,Stavropolenergosbyt Public Joint-Stock Company,MCX,,Russia
TATNP.ME,PJSC Tatneft,MCX,,Russia
MAGN.ME,Public Joint Stock Company Magnitogorsk Iron & Steel Works,MCX,,Russia
RU000A0JQ5X1.ME,FIZIKA Scientific and Production Association Open Joint-Stock Company,MCX,,Russia
TUCH.ME,Tuchkovskiy Construction Materials Plant Public Joint-Stock Company,MCX,,Russia
VZRZP.ME,Public joint-stock company Vozrozhdenie Bank,MCX,,Russia
UNKL.ME,Southern Urals Nickel Plant PJSC,MCX,,Russia
SNGSP.ME,"""Surgutneftegas"" Open Joint Stock Company",MCX,,Russia
SNGS.ME,"""Surgutneftegas"" Open Joint Stock Company",MCX,,Russia
PRFN.ME,Chelyabinsky Plant for Profiled Metal Floor Decking Public Joint-Stock Company,MCX,,Russia
UNAC.ME,Public Joint Stock Company United Aircraft Corporation,MCX,,Russia
VSYDP.ME,Public joint-stock company Vyborg Shipyard,MCX,,Russia
USBN.ME,Public Joint Stock Company BANK URALSIB,MCX,,Russia
TASB.ME,Public Joint Stock Company Tambov Power Supply Company,MCX,,Russia
RZSB.ME,Ryazan Energy Retail Company Public Joint-Stock Company,MCX,,Russia
TATN.ME,PJSC Tatneft,MCX,,Russia
SELG.ME,Public Joint-Stock Company Seligdar,MCX,,Russia
TORSP.ME,Tomsk Distribution Company,MCX,,Russia
CHGZ.ME,Public Joint Stock Company RN-Western Siberia,MCX,,Russia
TUZA.ME,Tuimazinskiy Zavod Avtobetonovozov Publicly Traded Company,MCX,,Russia
PRTK.ME,Public Joint-Stock Company PROTEK,MCX,,Russia
VZRZ.ME,Public joint-stock company Vozrozhdenie Bank,MCX,,Russia
UCSS.ME,Public Joint Stock Company United Credit Systems,MCX,,Russia
TNSE.ME,Public Joint Stock Company Group of Companies TNS energo,MCX,,Russia
MAGEP.ME,Public Joint Stock Company Magadanenergo,MCX,,Russia
BRZL.ME,Public Joint Stock Company Buryatzoloto,MCX,,Russia
VRAOP.ME,Joint Stock Company RAO Energy System of East,MCX,,Russia
LIFE.ME,"Public Joint-Stock Company ""Pharmsynthez""",MCX,,Russia
SAREP.ME,Public Joint-Stock Company Saratovenergo,MCX,,Russia
SYNG.ME,Beluga Group Public Joint-Stock Company,MCX,,Russia
PAZA.ME,Public Joint Stock Company Pavlovo Bus,MCX,,Russia
VTRS.ME,Public Joint Stock Company Vtorresource,MCX,,Russia
KRSBP.ME,Public Joint Stock Company Krasnoyarskenergosbyt,MCX,,Russia
VTBR.ME,VTB Bank (public joint-stock company),MCX,,Russia
WTCM.ME,"Joint Stock Company ""World Trade Center Moscow""",MCX,,Russia
KRKOP.ME,Public Joint Stock Company The Taganrog Boiler-Making Works Krasny Kotelshchik,MCX,,Russia
SELGP.ME,Public Joint-Stock Company Seligdar,MCX,,Russia
TRCN.ME,Public Joint Stock Company TransContainer,MCX,,Russia
UTAR.ME,Public Joint-Stock Company UTair Aviation,MCX,,Russia
UTII.ME,Platforma UTINET.RU Open Joint Stock Company,MCX,,Russia
SBERP.ME,Sberbank of Russia,MCX,,Russia
TORS.ME,Tomsk Distribution Company,MCX,,Russia
MISBP.ME,Public Joint-stock Company TNS energo Mari El,MCX,,Russia
SVAV.ME,Sollers Public Joint Stock Company,MCX,,Russia
VTGK.ME,Public Joint Stock Company T Plus,MCX,,Russia
UKUZ.ME,Southern Kuzbass Coal company Public Joint-Stock Company,MCX,,Russia
CHEP.ME,Public Joint Stock Company Chelyabinsk Pipe - Rolling Plant,MCX,,Russia
CNTLP.ME,Central Telegraph Public Joint Stock Company,MCX,,Russia
VDSB.ME,Public Joint Stock Company Vladimir Power Sale Company,MCX,,Russia
MERF.ME,Perviy Investitsionniy Fond Nedvizhimosti Meridian,MCX,,Russia
VGSB.ME,Public Joint-Stock Company Volgogradenergosbyt,MCX,,Russia
RUGR.ME,Public Joint-Stock Company Rusgrain Holding,MCX,,Russia
BAC,Bank of America Corporation,NYQ,Money Center Banks,USA
T,AT&T Inc.,NYQ,Telecom Services - Domestic,USA
MO,"Altria Group, Inc.",NYQ,Cigarettes,USA
DAL,"Delta Air Lines, Inc.",NYQ,Major Airlines,USA
AA,Alcoa Corporation,NYQ,Aluminum,USA
AXP,American Express Company,NYQ,Credit Services,USA
DD,E. I. du Pont de Nemours and Company,NYQ,Agricultural Chemicals,USA
BABA,Alibaba Group Holding Limited,NYQ,"Specialty Retail, Other",USA
ABT,Abbott Laboratories,NYQ,Medical Appliances & Equipment,USA
UA,"Under Armour, Inc.",NYQ,Textile - Apparel Clothing,USA
AIG,"American International Group, Inc.",NYQ,Property & Casualty Insurance,USA
ALL,The Allstate Corporation,NYQ,Property & Casualty Insurance,USA
ACN,Accenture plc,NYQ,Information Technology Services,USA
ABBV,AbbVie Inc.,NYQ,Drug Manufacturers - Major,USA
MT,ArcelorMittal,NYQ,Steel & Iron,USA
LLY,Eli Lilly and Company,NYQ,Drug Manufacturers - Major,USA
AGN,Allergan plc,NYQ,Drugs - Generic,USA
APA,Apache Corporation,NYQ,Independent Oil & Gas,USA
APC,Anadarko Petroleum Corporation,NYQ,Independent Oil & Gas,USA
NLY,"Annaly Capital Management, Inc.",NYQ,REIT - Diversified,USA
ABX,Barrick Gold Corporation,NYQ,Gold,USA
ADM,Archer-Daniels-Midland Company,NYQ,Farm Products,USA
LUV,Southwest Airlines Co.,NYQ,Regional Airlines,USA
PANW,"Palo Alto Networks, Inc.",NYQ,Networking & Communication Devices,USA
AET,Aetna Inc.,NYQ,Health Care Plans,USA
AEP,"American Electric Power Company, Inc.",NYQ,Electric Utilities,USA
DB,Deutsche Bank Aktiengesellschaft,NYQ,Foreign Regional Banks,USA
AEM,Agnico Eagle Mines Limited,NYQ,Gold,USA
APD,"Air Products and Chemicals, Inc.",NYQ,Chemicals - Major Diversified,USA
NVS,Novartis AG,NYQ,Drug Manufacturers - Major,USA
ANF,Abercrombie & Fitch Co.,NYQ,Apparel Stores,USA
RAD,Rite Aid Corporation,NYQ,Drug Stores,USA
A,"Agilent Technologies, Inc.",NYQ,Medical Laboratories & Research,USA
AZO,"AutoZone, Inc.",NYQ,Auto Parts Stores,USA
AN,"AutoNation, Inc.",NYQ,Auto Dealerships,USA
AZN,AstraZeneca PLC,NYQ,Drug Manufacturers - Major,USA
AES,The AES Corporation,NYQ,Electric Utilities,USA
BUD,Anheuser-Busch InBev SA/NV,NYQ,Beverages - Brewers,USA
ARR,"ARMOUR Residential REIT, Inc.",NYQ,REIT - Residential,USA
BDX,"Becton, Dickinson and Company",NYQ,Medical Instruments & Supplies,USA
AKS,AK Steel Holding Corporation,NYQ,Steel & Iron,USA
AB,AllianceBernstein Holding L.P.,NYQ,Asset Management,USA
CS,Credit Suisse Group AG,NYQ,Foreign Money Center Banks,USA
AFL,Aflac Incorporated,NYQ,Accident & Health Insurance,USA
AMP,"Ameriprise Financial, Inc.",NYQ,Asset Management,USA
AVP,"Avon Products, Inc.",NYQ,Personal Products,USA
